,river,weather
2017-01-01 00:00:00,12.0,-0.290659898307
2017-01-01 01:00:00,12.5222983052,0.182365292486
2017-01-01 02:00:00,13.0445966103,-0.496102944645
2017-01-01 03:00:00,13.5668949155,0.163041505501
2017-01-01 04:00:00,12.9130062436,-0.816353860934
2017-01-01 05:00:00,11.2797222053,-0.28612295005
2017-01-01 06:00:00,10.176669078,-0.171930584963
2017-01-01 07:00:00,10.6989673831,-0.666534934963
2017-01-01 08:00:00,11.2212656883,0.484460768042
2017-01-01 09:00:00,11.7435639934,-0.637501879644
2017-01-01 10:00:00,10.2891319364,0.582098399898
2017-01-01 11:00:00,10.8114302416,0.909918751864
2017-01-01 12:00:00,11.3337285467,-0.601354310777
2017-01-01 13:00:00,9.91544405862,0.289440479773
2017-01-01 14:00:00,9.38795436105,-0.544304896879
2017-01-01 15:00:00,8.02671928683,-0.706489641133
2017-01-01 16:00:00,6.50329946835,0.46639352756
2017-01-01 17:00:00,6.15276281857,-0.29685976382
2017-01-01 18:00:00,6.67506112372,0.390085750298
2017-01-01 19:00:00,7.19735942888,0.828913419987
2017-01-01 20:00:00,7.71965773404,-0.2080382045
2017-01-01 21:00:00,6.69468935219,-0.698677466333
2017-01-01 22:00:00,7.21698765735,0.429810793751
2017-01-01 23:00:00,7.7392859625,0.375070445508
